Date,No.,Description,Debit,Credit
12/28/2017,,Desc 28,,267.03
1/4/2018,,Desc 7,109,
1/4/2018,,Desc 11,121.21,
1/10/2018,,Desc 3,433.13,
1/12/2018,,Desc 32,57.94,
1/12/2018,,Desc 13,,453.46
1/14/2018,,Desc 28,90.37,
1/16/2018,,Desc 13,83.93,
1/18/2018,,Desc 1,192.93,
1/19/2018,,Desc 35,342.3,
1/19/2018,,Desc 48,244.96,
1/19/2018,,Desc 2,105.57,
1/19/2018,,Desc 29,,189.68
1/21/2018,,Desc 22,,472.42
1/25/2018,,Desc 21,405.27,
1/25/2018,,Desc 38,396.17,
2/1/2018,,Desc 43,20.71,
2/1/2018,,Desc 39,,272.71
2/10/2018,,Desc 23,,340.9
2/12/2018,,Desc 34,,403.97
2/16/2018,,Desc 28,,176.16
2/16/2018,,Desc 21,,25.9
2/17/2018,,Desc 12,150.49,
2/19/2018,,Desc 45,,239.31
2/23/2018,,Desc 44,,261.2
3/1/2018,,Desc 11,306.59,
3/4/2018,,Desc 2,478.16,
3/4/2018,,Desc 42,302.08,
3/12/2018,,Desc 50,120.89,
3/20/2018,,Desc 2,313.89,
3/23/2018,,Desc 38,177.12,
3/29/2018,,Desc 41,171.71,
3/31/2018,,Desc 25,201.76,
4/2/2018,,Desc 22,323.66,
4/4/2018,,Desc 38,70.84,
4/6/2018,,Desc 9,400.14,
4/14/2018,,Desc 41,241.97,
4/19/2018,,Desc 19,445.2,
4/20/2018,,Desc 32,,320.3
4/22/2018,,Desc 33,474.57,
4/24/2018,,Desc 26,20.24,
4/24/2018,,Desc 1,,345.17
4/27/2018,,Desc 30,13.01,
5/1/2018,,Desc 11,489.81,
5/3/2018,,Desc 12,280.99,
5/4/2018,,Desc 12,358.76,
5/5/2018,,Desc 45,404.34,
5/5/2018,,Desc 30,309.82,
5/6/2018,,Desc 4,83.07,
5/7/2018,,Desc 15,35.82,
5/11/2018,,Desc 4,23.41,
5/21/2018,,Desc 15,271.25,
5/23/2018,,Desc 4,185.1,
5/24/2018,,Desc 31,120.35,
5/25/2018,,Desc 25,274.07,
5/30/2018,,Desc 39,126.72,
5/30/2018,,Desc 28,201.29,
6/10/2018,,Desc 49,296.92,
6/11/2018,,Desc 11,268.94,
6/11/2018,,Desc 6,,361.55
6/18/2018,,Desc 8,434.69,
6/20/2018,,Desc 23,276.69,
6/22/2018,,Desc 9,21.94,
6/24/2018,,Desc 31,28.45,
6/24/2018,,Desc 34,434.19,
6/24/2018,,Desc 31,62.26,
6/29/2018,,Desc 40,334.03,
6/30/2018,,Desc 43,330.96,
6/30/2018,,Desc 6,116.13,
7/8/2018,,Desc 47,,493.58
7/9/2018,,Desc 3,264.27,
7/12/2018,,Desc 5,,389.34
7/15/2018,,Desc 3,,464.06
7/18/2018,,Desc 1,102.41,
7/21/2018,,Desc 41,416.45,
7/21/2018,,Desc 8,186.08,
7/21/2018,,Desc 33,128.63,
7/23/2018,,Desc 28,360.17,
7/24/2018,,Desc 21,383.06,
7/26/2018,,Desc 5,115.21,
7/26/2018,,Desc 14,330.97,
7/28/2018,,Desc 24,318.69,
7/28/2018,,Desc 19,59.3,
8/3/2018,,Desc 15,20.68,
8/5/2018,,Desc 39,225.06,
8/14/2018,,Desc 25,72.81,
8/14/2018,,Desc 25,184.12,
8/17/2018,,Desc 41,,19.53
8/18/2018,,Desc 48,60.57,
8/18/2018,,Desc 47,,394.46
8/19/2018,,Desc 29,369.62,
8/30/2018,,Desc 50,313.96,
8/30/2018,,Desc 7,,129.95
9/11/2018,,Desc 42,444.55,
9/11/2018,,Desc 23,368.98,
9/22/2018,,Desc 24,406.07,
9/25/2018,,Desc 2,218.63,
9/26/2018,,Desc 44,246.56,
9/26/2018,,Desc 21,,210.46
9/27/2018,,Desc 1,457.05,
10/3/2018,,Desc 13,210.99,
10/7/2018,,Desc 5,73.8,
10/9/2018,,Desc 29,308.47,
10/10/2018,,Desc 47,490.53,
10/11/2018,,Desc 20,22.01,
10/11/2018,,Desc 21,305.07,
10/13/2018,,Desc 17,139.87,
10/17/2018,,Desc 8,375.92,
10/27/2018,,Desc 21,,399.85
10/29/2018,,Desc 8,333.19,
11/1/2018,,Desc 41,439.35,
11/5/2018,,Desc 41,,433.6
11/5/2018,,Desc 21,,65.31
11/11/2018,,Desc 49,191.61,
11/20/2018,,Desc 49,,151.85
11/23/2018,,Desc 22,452.17,
11/23/2018,,Desc 8,472.94,
11/24/2018,,Desc 23,,130.24
11/27/2018,,Desc 2,266.54,
11/28/2018,,Desc 14,,371.32
12/1/2018,,Desc 42,239.29,
12/3/2018,,Desc 13,304.64,
12/3/2018,,Desc 50,340.79,
12/3/2018,,Desc 42,334.83,
12/4/2018,,Desc 48,38.95,
12/4/2018,,Desc 33,,319.9
12/6/2018,,Desc 7,127.18,
12/9/2018,,Desc 14,,390.63
12/23/2018,,Desc 17,78.9,
1/3/2019,,Desc 30,302.55,
1/6/2019,,Desc 18,368.15,
1/6/2019,,Desc 31,47.34,
1/6/2019,,Desc 26,146.58,
1/7/2019,,Desc 46,260.28,
1/7/2019,,Desc 42,474.71,
1/7/2019,,Desc 44,434.37,
1/7/2019,,Desc 50,148.07,
1/7/2019,,Desc 10,,255.23
1/10/2019,,Desc 44,87.22,
1/12/2019,,Desc 17,419.69,
1/12/2019,,Desc 16,,64.56
1/15/2019,,Desc 25,63.56,
1/15/2019,,Desc 46,406.1,
1/17/2019,,Desc 18,403.64,
1/23/2019,,Desc 46,460.68,
1/24/2019,,Desc 38,,53.01
1/25/2019,,Desc 4,335.47,
2/2/2019,,Desc 31,111.93,
2/7/2019,,Desc 3,341,
2/8/2019,,Desc 11,134.97,
2/12/2019,,Desc 31,342.24,
2/15/2019,,Desc 31,,11.68
2/17/2019,,Desc 27,121.96,
2/26/2019,,Desc 40,121.51,
2/28/2019,,Desc 44,220.36,
3/1/2019,,Desc 18,41.7,
3/15/2019,,Desc 30,,448.08
3/16/2019,,Desc 45,159.86,
3/29/2019,,Desc 5,187.88,
4/1/2019,,Desc 28,,279.02
4/3/2019,,Desc 40,68.38,
4/3/2019,,Desc 16,88.61,
4/11/2019,,Desc 34,342.38,
4/13/2019,,Desc 44,413.85,
4/14/2019,,Desc 22,57.34,
4/18/2019,,Desc 12,368.55,
4/18/2019,,Desc 1,328.81,
4/21/2019,,Desc 19,74.31,
4/26/2019,,Desc 47,325.74,
4/28/2019,,Desc 44,12.16,
5/4/2019,,Desc 14,,95.64
5/6/2019,,Desc 20,,418.94
5/7/2019,,Desc 46,,490.51
5/8/2019,,Desc 16,178.9,
