Transaction Date,Posted Date,Description,Debit,Credit
7/5/2017,7/16/2017,Desc 35,,140.17
7/12/2017,7/20/2017,Desc 46,,326.4
7/15/2017,7/19/2017,Desc 23,,106.59
7/17/2017,7/20/2017,Desc 33,,487.68
7/18/2017,7/21/2017,Desc 24,,291.21
7/19/2017,8/7/2017,Desc 39,,93.47
8/12/2017,8/30/2017,Desc 4,,300.65
9/15/2017,9/18/2017,Desc 38,,347.73
9/20/2017,9/25/2017,Desc 41,,95.62
10/4/2017,10/12/2017,Desc 10,26.85,
10/18/2017,10/25/2017,Desc 35,,189.91
11/1/2017,11/20/2017,Desc 40,,195.24
11/4/2017,11/5/2017,Desc 3,,42.63
11/12/2017,11/19/2017,Desc 28,203.97,
11/24/2017,12/9/2017,Desc 22,58.98,
11/27/2017,12/9/2017,Desc 21,144.24,
12/6/2017,12/21/2017,Desc 31,99.21,
12/13/2017,12/28/2017,Desc 43,,475.17
12/16/2017,12/20/2017,Desc 11,385.39,
12/24/2017,12/29/2017,Desc 20,459.32,
12/25/2017,12/31/2017,Desc 4,377.29,
12/26/2017,1/6/2018,Desc 8,453.23,
12/28/2017,1/10/2018,Desc 29,296.05,
1/8/2018,1/21/2018,Desc 40,,271.9
1/14/2018,2/2/2018,Desc 34,497.26,
1/18/2018,1/30/2018,Desc 2,,172.75
1/18/2018,1/29/2018,Desc 33,58.53,
1/24/2018,1/27/2018,Desc 42,,191.29
2/7/2018,2/22/2018,Desc 25,,439.03
2/16/2018,2/21/2018,Desc 48,,158.8
2/20/2018,2/22/2018,Desc 37,132.6,
2/22/2018,3/7/2018,Desc 44,,39.55
3/3/2018,3/20/2018,Desc 33,,45.95
3/4/2018,3/10/2018,Desc 27,414.42,
3/7/2018,3/13/2018,Desc 16,,260.12
3/10/2018,3/21/2018,Desc 43,325.21,
3/31/2018,4/18/2018,Desc 10,,301.43
4/15/2018,4/17/2018,Desc 24,,396.36
4/21/2018,4/26/2018,Desc 3,152.74,
4/26/2018,5/10/2018,Desc 13,,36.12
4/27/2018,4/29/2018,Desc 29,193.7,
5/1/2018,5/10/2018,Desc 32,,425.01
5/1/2018,5/11/2018,Desc 47,23.67,
5/5/2018,5/6/2018,Desc 29,,181.86
5/5/2018,5/19/2018,Desc 41,482.53,
5/6/2018,5/8/2018,Desc 32,,19.6
5/20/2018,5/30/2018,Desc 22,,216.93
5/24/2018,5/30/2018,Desc 12,,413.49
6/5/2018,6/24/2018,Desc 27,,455.43
6/15/2018,6/29/2018,Desc 18,,318.37
7/5/2018,7/20/2018,Desc 40,,339.31
7/20/2018,7/30/2018,Desc 3,,183.96
7/23/2018,8/12/2018,Desc 16,296.31,
7/24/2018,8/5/2018,Desc 38,,297.61
7/26/2018,8/10/2018,Desc 31,,177.13
8/4/2018,8/15/2018,Desc 30,,195.56
8/4/2018,8/19/2018,Desc 46,,212.92
8/6/2018,8/10/2018,Desc 39,,123
8/10/2018,8/23/2018,Desc 4,,58.82
8/19/2018,8/21/2018,Desc 39,486.53,
8/24/2018,9/5/2018,Desc 24,,150.71
9/10/2018,9/14/2018,Desc 4,,443.05
9/24/2018,9/28/2018,Desc 27,,436.47
10/3/2018,10/20/2018,Desc 43,,126.88
10/14/2018,10/23/2018,Desc 7,,459.89
10/18/2018,10/22/2018,Desc 5,,282.84
11/7/2018,11/11/2018,Desc 31,,374.61
11/12/2018,11/29/2018,Desc 47,475.86,
11/18/2018,11/19/2018,Desc 50,,492.61
11/25/2018,11/28/2018,Desc 47,,401.99
11/28/2018,12/4/2018,Desc 33,,30.28
11/30/2018,12/5/2018,Desc 23,,45.68
11/30/2018,12/15/2018,Desc 7,183.82,
12/2/2018,12/13/2018,Desc 18,,12.59
12/8/2018,12/20/2018,Desc 25,284.49,
12/20/2018,1/5/2019,Desc 42,,217.11
12/26/2018,1/9/2019,Desc 15,,429.57
1/21/2019,2/5/2019,Desc 7,10.81,
2/1/2019,2/5/2019,Desc 28,,31.45
2/6/2019,2/15/2019,Desc 30,283.01,
2/7/2019,2/21/2019,Desc 37,,396.68
2/18/2019,2/24/2019,Desc 14,,457.61
3/24/2019,4/8/2019,Desc 25,498.42,
4/1/2019,4/12/2019,Desc 4,435.58,
4/4/2019,4/18/2019,Desc 24,369.78,
4/10/2019,4/26/2019,Desc 24,,298.68
4/13/2019,4/26/2019,Desc 7,21.06,
4/18/2019,4/28/2019,Desc 6,422.34,
4/24/2019,5/5/2019,Desc 11,,150.08
4/27/2019,4/30/2019,Desc 12,466.92,
5/1/2019,5/5/2019,Desc 23,457.73,
